kaasrasp, spaarkas
bandera, baarden
harent, harten
toeren, roeten
platmaken, mantelpak, kapmantel, lampetkan
intussen, tussenin
aardbewoner, bewonderaar
gestuikt, gietstuk
generaal-majoor, majoor-generaal
tod, dot
badzout, zoutbad
stele, steel, sleet, leest, leste
basisproject, projectbasis
bloeder, bordeel
nopens, ponsen
altereren, relateren
megila, gemail, galmei
gegil, gelig
sleepwagen, speelwagen
gerieven, gevieren
canadese, canadees
verbeurte, beurtveer
kabouterbos, boskabouter
naken, kanen
menskracht, krachtmens
les, els
gelederen, delegeren
halsring, ringhals
zonetarief, tariefzone
huisraad, raadhuis
pension, spionne
overtrekken, vertrokkene
vlas, vals
nadroog, oogrand
eindsom, misdoen
mergbeen, beenmerg
uitzieken, uitkiezen
nonkel, klonen, lonken
lensput, stulpen
gedragen, regendag
valslot, vollast
marker, kramer
chique, quiche
eropaf, afroep
geronk, geknor
arend, ander, raden, nader
kiwi, wiki
verlokken, enkelvork
busnummer, subnummer
vergefelijk, vergeeflijk
bandstoten, statenbond
lens, snel
meerring, migreren, grimeren
wandtegel, tegelwand
woningnood, noodwoning
haarwortel, wortelhaar
eenheidstijd, tijdseenheid
strot, stort, trots
schimmelwerend, schimmenwereld
doorleveren, veroordelen
geluidsnota, nagelstudio
filmdagen, afmelding
teveel, veelte
dodengebed, beddengoed
schipbrug, brugschip
bouwvorm, bomvrouw
stemloos, solostem
wereldleed, werelddeel
aanboorden, ondoenbaar
loot, tool
kersenteelt, skeletteren
krat, kart
adek, kade
gister, gierst, gerits
onteren, noteren, torenen
kaartregister, registerkaart
cleaner, relance
uitroep, eropuit
estrik, strike
keldergat, gekarteld
trimsalon, normalist
bogerd, bedrog
bolk, blok
zaadkiem, kiemzaad
basisjaar, jaarbasis
middagstudie, studiemiddag
bestoken, steenbok
houtwal, walhout
platenatlas, plaatstalen
omstreden, stemronde
vertasten, rentevast
knopoor, oorknop
hymne, hymen
pelerine, epileren
verkooprecord, recordverkoop
rusten, unster, sturen
meanderen, amenderen
taalvermogen, galvanometer
afreis, fresia
kielwater, kwartelei
rechtsovergang, overgangsrecht
vervalsing, verslaving
rattennest, stratennet
miet, item, time
kabelnetwerk, netwerkkabel
plaasteren, aalstrepen, raapstelen
omroepsatelliet, satellietomroep
plantenkas, klantenpas
botenbouw, betonbouw
volleybalclub, clubvolleybal
tentfeest, feesttent
ruit, trui
groepsleider, leidersgroep
ijsman, misjna
moors, rooms, smoor
ontvoerder, doorvreten, voortreden
boekverslag, verslagboek
smarten, armsten
waardebasis, basiswaarde
stekelvaren, navelstreek, steenklaver
pedoseksuele, pedoseksueel
vetspuit, vetpuist
middagspel, spelmiddag
dorp, drop
lepelrek, leerplek
ondermaats, omstaander
ecu, cue
palm, lamp
krinkel, klinker
autosport, sportauto
preektoon, opkoteren
broederklooster, kloosterbroeder
gerand, dragen, grande, gander
onderkok, noodkerk
haagdoorn, doornhaag
pokeren, perkoen, koperen
strafwerk, werkstraf
verloofd, loodverf
poezen, penoze
bies, beis
protsen, stropen, sporten
gootwater, watergoot
vervoersgroei, vervoersregio
rijstmeel, smelterij
biervat, vatbier
pascha, schaap
eropaan, aanroep
grotesk, gekorst
gevaar, ravage
vijvervis, visvijver
leergebied, beeldregie, begeleider
dagloner, longader
badkamer, kraambed
sportvliegen, overstelping
aar, ara
stijlconcept, conceptlijst
methodeonderzoek, onderzoekmethode
dienstwoning, woningdienst
kalkmoeras, smokkelaar
partijcentrum, centrumpartij
tuigleer, leuterig
eennervig, verenigen
gad, dag
fel, elf, lef
ploegstaart, staartploeg
poptempel, tepelpomp
bemorsen, somberen
badkleding, bekladding
smoel, slome
uniëren, neuriën
jonge, gonje
voetbalclub, clubvoetbal
olienoot, nootolie
maas, saam
onderwerk, rondewerk
bruinrood, roodbruin
nogal, galon
aardappelplant, plantaardappel
reidans, sardien, sardine
tienen, nieten
kapitaalbuffer, bufferkapitaal
drukcabine, cabinedruk
droomwerk, woordmerk
tjirpen, trijpen
rolpens, slorpen
schoenspijker, spijkerschoen
bard, drab
perron, porren
aftakelen, kalefaten
gewaardig, draagwieg
maansteen, naamsteen
kogelgeweer, geweerkogel
pretentie, eenpitter
vogelkers, volgreeks
roeisport, roeistrop
negenentachtig, achtennegentig
beursjaar, jaarbeurs
verspringen, springveren
kaneelpijp, pijpkaneel
morsen, smoren
kernteam, marketen
hervullen, verhullen
roepgeld, gepolder
kotsen, stoken, kosten, knoest
roepen, poeren, opener
dagtrein, datering, getraind
sharen, harsen
demonie, dominee
kraal, klaar
motorsport, sportmotor
bankloket, kakelbont
darm, dram
